Função Hash,Percentual colisão encadeamento,Percentual colisão endereçamento aberto,Tamanho,Alfa,Tempo Construção Encadeamento,Número Comparações Construção Encadeamento,Tempo Construção Endereçamento Aberto,Número Comparações Construção Endereçamento Aberto,Tempo Consulta Encadeamento,Número Comparações Consulta Encadeamento,Tempo Consulta Endereçamento Aberto,Número Comparações Consulta Endereçamento Aberto,Número de Hits Encadeamento,Número de Hits Endereçamento Aberto
mod_tam,0.115,0.225,200,1.0,0.0001852512359619,23,0.0007004737854003,2390,0.0001263618469238,182,0.0021512508392333,7977,167,167
mod_tam,0.12,0.2766666666666666,300,1.0,0.0001599788665771,36,0.0011825561523437,5449,0.0001130104064941,251,0.0072178840637207,25127,225,225
mod_tam,0.134,0.284,500,1.0,0.000450849533081,67,0.0032174587249755,15897,0.0003590583801269,425,0.0213885307312011,61328,392,392
mod_tam,0.1333333333333333,0.3,750,1.0,0.000648021697998,100,0.0110635757446289,40223,0.0005450248718261,552,0.0745902061462402,196509,501,501
mod_tam,0.138,0.28,1000,1.0,0.0011239051818847,138,0.0170357227325439,59759,0.0007576942443847,829,0.0901000499725341,269237,756,756
mod_tam,0.1333333333333333,0.2833333333333333,1500,1.0,0.0007369518280029,200,0.0258758068084716,143706,0.0006399154663085,1192,0.1640498638153076,678616,1087,1087
mod_tam,0.144,0.299,2000,1.0,0.0016765594482421,288,0.0525641441345214,264145,0.0009307861328125,1802,0.2027838230133056,876001,1638,1638
mod_tam,0.1426666666666666,0.312,3000,1.0,0.0021796226501464,428,0.1131150722503662,621183,0.0012528896331787,2808,0.4586834907531738,1968970,2482,2482
mod_quarter_tam,0.5,0.5,50,0.5,7.653236389160156e-05,29,4.863739013671875e-05,29,6.079673767089844e-05,77,0.0004477500915527,1419,36,36
mod_quarter_tam,0.5,0.5,100,0.5,0.0002014636993408,63,0.000145673751831,63,0.0001189708709716,143,0.0019800662994384,4839,76,76
mod_quarter_tam,0.515,0.515,200,0.5,0.0002796649932861,124,0.0001735687255859,124,0.0001490116119384,291,0.0039572715759277,13291,167,167
mod_quarter_tam,0.5033333333333333,0.5033333333333333,300,0.5,0.0004665851593017,180,0.0002539157867431,180,0.0002250671386718,443,0.0135865211486816,45123,225,225
